Component Item Number,Work Ord Number,Acctg Value,Total Issued,F g,Quantity Required,Over Issued,Over Ext $$,Status Flag
******,,,,,,,------,
03-0319R|01,,,,,,,526.25,
,,,,,,,,
03-0320R|01,1055731,3.89,280,A,192,88,342.32,A
******,,,,,,,------,
03-0320R|01,,,,,,,342.32,
,,,,,,,,
03-0321R|01,1054187,0.5111,37,C,25,12,6.1332,C
03-0321R|01,1054421,0.5111,125,C,118,7,3.5777,C
******,,,,,,,------,
03-0321R|01,,,,,,,9.7109,
,,,,,,,,
03-0336R|01,1054485,0.7,53,A,32,21,14.7,A
03-0336R|01,1054707,0.7,93,C,73,20,14,C
******,,,,,,,------,
03-0336R|01,,,,,,,28.7,
,,,,,,,,
03-0337R|01,1054434,0.4981,500,A,20,480,239.088,A
03-0337R|01,1055100,0.4981,800,A,732,68,33.8708,A
******,,,,,,,------,
03-0337R|01,,,,,,,272.9588,
,,,,,,,,
03-0338R|01,1054434,5.2064,154,A,20,134,697.6576,A
03-0338R|01,1055100,5.2064,750,A,732,18,93.7152,A
******,,,,,,,------,
03-0338R|01,,,,,,,791.3728,
,,,,,,,,
0309-0010-0000|01,1057522,0.8,609,C,600,9,7.2,C
******,,,,,,,------,
0309-0010-0000|01,,,,,,,7.2,
,,,,,,,,
0309-0012-0000|01,1057522,1.48,604,C,600,4,5.92,C
******,,,,,,,------,
0309-0012-0000|01,,,,,,,5.92,
,,,,,,,,
0309-9964-2014|01,1054071,0.56,573,C,570,3,1.68,C
0309-9964-2014|01,1057522,0.56,604,C,600,4,2.24,C
******,,,,,,,------,
0309-9964-2014|01,,,,,,,3.92,
,,,,,,,,
0315-1033-0020|01,1057522,0.285,617,C,600,17,4.845,C
******,,,,,,,------,
0315-1033-0020|01,,,,,,,4.845,
,,,,,,,,
0321-2034-2014|01,1054071,0.6,1142,C,1140,2,1.2,C
******,,,,,,,------,
0321-2034-2014|01,,,,,,,1.2,
,,,,,,,,
0328-0010-0000|01,1054071,0.477,575,C,570,5,2.385,C
******,,,,,,,------,
0328-0010-0000|01,,,,,,,2.385,
,,,,,,,,
0328-0014-0000|01,1057522,0.87,646,C,600,46,40.02,C
******,,,,,,,------,
0328-0014-0000|01,,,,,,,40.02,
,,,,,,,,
0378-9912-0010|01,1053918,0.067,50,A,42,8,0.536,A
0378-9912-0010|01,1054071,0.067,4000,C,3990,10,0.67,C
0378-9912-0010|01,1057522,0.067,4251,C,4200,51,3.417,C
******,,,,,,,------,
0378-9912-0010|01,,,,,,,4.623,
,,,,,,,,
04-0001R|01,1054433,0.0086,187,A,172,15,0.129,A
04-0001R|01,1055022,0.0086,252,C,240,12,0.1032,C
04-0001R|01,1056548,0.0086,327,C,312,15,0.129,C
04-0001R|01,1057909,0.0086,76,C,74,2,0.0172,C
04-0001R|01,1057914,0.0086,166,C,162,4,0.0344,C
04-0001R|01,1058600,0.0086,403,A,402,1,0.0086,A
04-0001R|01,1058601,0.0086,2569,A,699,1870,16.082,A
******,,,,,,,------,
04-0001R|01,,,,,,,16.5034,
,,,,,,,,
04-0002R|01,1054421,0.0097,124,C,118,6,0.0582,C
04-0002R|01,1055727,0.0097,151,C,149,2,0.0194,C
04-0002R|01,1055728,0.0097,150,A,102,48,0.4656,A
04-0002R|01,1057917,0.0097,2928,A,120,2808,27.2376,A
******,,,,,,,------,
04-0002R|01,,,,,,,27.7808,
,,,,,,,,
04-0010R|01,1053958,0.08,14,C,8,6,0.48,C
04-0010R|01,1054398,0.08,1728,C,1032,696,55.68,C
04-0010R|01,1054421,0.08,120,C,118,2,0.16,C
04-0010R|01,1054434,0.08,1350,A,60,1290,103.2,A
04-0010R|01,1054485,0.08,848,A,32,816,65.28,A
04-0010R|01,1054707,0.08,76,C,73,3,0.24,C
04-0010R|01,1055066,0.08,220,C,214,6,0.48,C
04-0010R|01,1055075,0.08,1677,A,1404,273,21.84,A
04-0010R|01,1055100,0.08,2618,A,2196,422,33.76,A
04-0010R|01,1055138,0.08,150,A,10,140,11.2,A
04-0010R|01,1055139,0.08,57,A,39,18,1.44,A
04-0010R|01,1055151,0.08,70,A,57,13,1.04,A
04-0010R|01,1055721,0.08,382,A,380,2,0.16,A
04-0010R|01,1055727,0.08,216,C,149,67,5.36,C
04-0010R|01,1055728,0.08,165,A,102,63,5.04,A
04-0010R|01,1055731,0.08,3000,A,48,2952,236.16,A
04-0010R|01,1055734,0.08,3000,A,237,2763,221.04,A
04-0010R|01,1056546,0.08,382,C,378,4,0.32,C
04-0010R|01,1056548,0.08,318,C,312,6,0.48,C
04-0010R|01,1057602,0.08,3000,A,2757,243,19.44,A
04-0010R|01,1057642,0.08,241,C,36,205,16.4,C
04-0010R|01,1057909,0.08,246,C,74,172,13.76,C
04-0010R|01,1057914,0.08,462,C,162,300,24,C
04-0010R|01,1057917,0.08,3000,A,30,2970,237.6,A
04-0010R|01,1058117,0.08,3000,A,688,2312,184.96,A
04-0010R|01,1058600,0.08,404,A,402,2,0.16,A
04-0010R|01,1058601,0.08,2759,A,699,2060,164.8,A
04-0010R|01,1058790,0.08,680,A,10,670,53.6,A
******,,,,,,,------,
04-0010R|01,,,,,,,1478.08,
,,,,,,,,
04-0016R|01,1056548,0.076,330,C,312,18,1.368,C
04-0016R|01,1058600,0.076,406,A,402,4,0.304,A
******,,,,,,,------,
04-0016R|01,,,,,,,1.672,
,,,,,,,,
04-0026R|01,1054421,0.247,121,C,118,3,0.741,C
04-0026R|01,1054485,0.247,425,A,32,393,97.071,A
04-0026R|01,1054707,0.247,79,C,73,6,1.482,C
******,,,,,,,------,
04-0026R|01,,,,,,,99.294,
,,,,,,,,
04000000003R|01,1055238,0.058,100,A,99,1,0.058,A
******,,,,,,,------,
04000000003R|01,,,,,,,0.058,
,,,,,,,,
04000000004R|01,1055238,0.079,100,A,99,1,0.079,A
******,,,,,,,------,
04000000004R|01,,,,,,,0.079,
,,,,,,,,
04000000012R|01,1055238,0.073,100,A,99,1,0.073,A
******,,,,,,,------,
04000000012R|01,,,,,,,0.073,
,,,,,,,,
04000000022R|01,1055238,0.034,300,A,297,3,0.102,A
******,,,,,,,------,
04000000022R|01,,,,,,,0.102,
,,,,,,,,
04000000070R|01,1055238,0.025,700,A,693,7,0.175,A
******,,,,,,,------,
04000000070R|01,,,,,,,0.175,
,,,,,,,,
04000000077R|01,1055238,0.115,100,A,99,1,0.115,A
******,,,,,,,------,
04000000077R|01,,,,,,,0.115,
,,,,,,,,
04000000101R|01,1055238,0.028,312,A,297,15,0.42,A
******,,,,,,,------,
04000000101R|01,,,,,,,0.42,
,,,,,,,,
04000000122R|01,1055238,0.057,248,A,99,149,8.493,A
******,,,,,,,------,
04000000122R|01,,,,,,,8.493,
,,,,,,,,
04000000142R|01,1055238,0.047,400,A,396,4,0.188,A
******,,,,,,,------,
04000000142R|01,,,,,,,0.188,
,,,,,,,,
04000000144R|01,1055238,0.03,100,A,99,1,0.03,A
******,,,,,,,------,
04000000144R|01,,,,,,,0.03,
,,,,,,,,
04000000153R|01,1055238,0.049,200,A,198,2,0.098,A
******,,,,,,,------,
04000000153R|01,,,,,,,0.098,
,,,,,,,,
04000000165R|01,1055238,0.0446,100,A,99,1,0.0446,A
******,,,,,,,------,
04000000165R|01,,,,,,,0.0446,
,,,,,,,,
04000000187R|01,1055238,0.034,100,A,99,1,0.034,A
******,,,,,,,------,
04000000187R|01,,,,,,,0.034,
,,,,,,,,
04000000210R|01,1055238,0.048,300,A,297,3,0.144,A
******,,,,,,,------,
04000000210R|01,,,,,,,0.144,
,,,,,,,,
04000000267R|01,1055238,0.0063,500,A,495,5,0.0315,A
******,,,,,,,------,
04000000267R|01,,,,,,,0.0315,
,,,,,,,,
04000000272R|01,1055238,0.0063,1800,A,1782,18,0.1134,A
******,,,,,,,------,
04000000272R|01,,,,,,,0.1134,
,,,,,,,,
04000000279R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000279R|01,,,,,,,0.0063,
,,,,,,,,
04000000285R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000285R|01,,,,,,,0.0063,
,,,,,,,,
04000000297R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000297R|01,,,,,,,0.0063,
,,,,,,,,
04000000299R|01,1055238,0.0063,200,A,198,2,0.0126,A
******,,,,,,,------,
04000000299R|01,,,,,,,0.0126,
,,,,,,,,
04000000307R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000307R|01,,,,,,,0.0063,
,,,,,,,,
04000000313R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000313R|01,,,,,,,0.0063,
,,,,,,,,
04000000315R|01,1055238,0.0063,300,A,297,3,0.0189,A
******,,,,,,,------,
04000000315R|01,,,,,,,0.0189,
,,,,,,,,
04000000337R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000337R|01,,,,,,,0.0063,
,,,,,,,,
04000000339R|01,1055238,0.0084,300,A,297,3,0.0252,A
******,,,,,,,------,
04000000339R|01,,,,,,,0.0252,
,,,,,,,,
04000000353R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000353R|01,,,,,,,0.0063,
,,,,,,,,
04000000359R|01,1055238,0.0078,500,A,495,5,0.039,A
******,,,,,,,------,
04000000359R|01,,,,,,,0.039,
,,,,,,,,
04000000361R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000361R|01,,,,,,,0.0063,
,,,,,,,,
04000000366R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000366R|01,,,,,,,0.0063,
,,,,,,,,
04000000369R|01,1055238,0.0084,200,A,198,2,0.0168,A
******,,,,,,,------,
04000000369R|01,,,,,,,0.0168,
,,,,,,,,
04000000373R|01,1055238,0.082,200,A,198,2,0.164,A
******,,,,,,,------,
04000000373R|01,,,,,,,0.164,
,,,,,,,,
04000000375R|01,1055238,0.02,300,A,297,3,0.06,A
******,,,,,,,------,
04000000375R|01,,,,,,,0.06,
,,,,,,,,
04000000381R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000381R|01,,,,,,,0.0063,
,,,,,,,,
04000000386R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000386R|01,,,,,,,0.0063,
,,,,,,,,
04000000396R|01,1055238,0.0063,200,A,198,2,0.0126,A
******,,,,,,,------,
04000000396R|01,,,,,,,0.0126,
,,,,,,,,
04000000418R|01,1055238,0.0063,200,A,198,2,0.0126,A
******,,,,,,,------,
04000000418R|01,,,,,,,0.0126,
,,,,,,,,
04000000447R|01,1055238,0.0063,100,A,99,1,0.0063,A
******,,,,,,,------,
04000000447R|01,,,,,,,0.0063,
,,,,,,,,
04000000479R|01,1055238,0.006,800,A,792,8,0.048,A
******,,,,,,,------,
04000000479R|01,,,,,,,0.048,
,,,,,,,,
04000000498R|01,1055238,1.6,200,A,198,2,3.2,A
******,,,,,,,------,
04000000498R|01,,,,,,,3.2,
,,,,,,,,
04000000521R|01,1055238,0.1325,100,A,99,1,0.1325,A
******,,,,,,,------,
04000000521R|01,,,,,,,0.1325,
,,,,,,,,
04000000522R|01,1055238,0.1551,100,A,99,1,0.1551,A
******,,,,,,,------,
04000000522R|01,,,,,,,0.1551,
,,,,,,,,
04000000534R|01,1055238,0.15,100,A,99,1,0.15,A
******,,,,,,,------,
04000000534R|01,,,,,,,0.15,
,,,,,,,,
04000000537R|01,1055238,0.1412,100,A,99,1,0.1412,A
******,,,,,,,------,
04000000537R|01,,,,,,,0.1412,
,,,,,,,,
04000000618R|01,1055238,0.189,200,A,198,2,0.378,A
******,,,,,,,------,
04000000618R|01,,,,,,,0.378,
,,,,,,,,
04000000622R|01,1055238,0.195,100,A,99,1,0.195,A
******,,,,,,,------,
04000000622R|01,,,,,,,0.195,
,,,,,,,,
04000000647R|01,1055238,0.0213,300,A,297,3,0.0639,A
******,,,,,,,------,
04000000647R|01,,,,,,,0.0639,
,,,,,,,,
04000000648R|01,1055238,0.0213,400,A,396,4,0.0852,A
******,,,,,,,------,
04000000648R|01,,,,,,,0.0852,
,,,,,,,,
04000000660R|01,1055238,0.14,100,A,99,1,0.14,A
******,,,,,,,------,
04000000660R|01,,,,,,,0.14,
,,,,,,,,
04000000666R|01,1055238,0.027,100,A,99,1,0.027,A
******,,,,,,,------,
04000000666R|01,,,,,,,0.027,
,,,,,,,,
04000800098R|01,1055238,0.464,100,A,99,1,0.464,A
******,,,,,,,------,
04000800098R|01,,,,,,,0.464,
,,,,,,,,
04000800156R|01,1055238,0.1965,100,A,99,1,0.1965,A
******,,,,,,,------,
04000800156R|01,,,,,,,0.1965,
,,,,,,,,
04000800229R|01,1055238,0.209,200,A,198,2,0.418,A
******,,,,,,,------,
04000800229R|01,,,,,,,0.418,
,,,,,,,,
0485-0025-0000|01,1056398,0.562,298,C,288,10,5.62,C
******,,,,,,,------,
0485-0025-0000|01,,,,,,,5.62,
,,,,,,,,
0491-0026-0008|01,1056589,0.485,87,C,70,17,8.245,C
******,,,,,,,------,
0491-0026-0008|01,,,,,,,8.245,
,,,,,,,,
05-0005R|01,1053958,0.0184,16,C,8,8,0.1472,C
05-0005R|01,1055151,0.0184,108,A,57,51,0.9384,A
05-0005R|01,1055727,0.0184,151,C,149,2,0.0368,C
05-0005R|01,1055731,0.0184,131,A,48,83,1.5272,A
05-0005R|01,1056546,0.0184,2607,C,378,2229,41.0136,C
05-0005R|01,1057642,0.0184,423,C,36,387,7.1208,C
05-0005R|01,1057909,0.0184,76,C,74,2,0.0368,C
05-0005R|01,1058601,0.0184,2803,A,699,2104,38.7136,A
******,,,,,,,------,
05-0005R|01,,,,,,,89.5344,
,,,,,,,,
05-0006R|01,1053958,0.0543,28,C,24,4,0.2172,C
05-0006R|01,1055138,0.0543,29,A,20,9,0.4887,A
05-0006R|01,1055727,0.0543,152,C,149,3,0.1629,C
05-0006R|01,1055728,0.0543,2309,A,102,2207,119.8401,A
05-0006R|01,1055731,0.0543,2159,A,96,2063,112.0209,A
05-0006R|01,1055734,0.0543,2389,A,711,1678,91.1154,A
05-0006R|01,1056546,0.0543,380,C,378,2,0.1086,C
05-0006R|01,1056548,0.0543,313,C,312,1,0.0543,C
05-0006R|01,1057642,0.0543,76,C,72,4,0.2172,C
05-0006R|01,1057909,0.0543,149,C,148,1,0.0543,C
05-0006R|01,1058600,0.0543,407,A,402,5,0.2715,A
05-0006R|01,1058601,0.0543,2275,A,699,1576,85.5768,A
******,,,,,,,------,
05-0006R|01,,,,,,,410.1279,
,,,,,,,,
05-0032R|01,1055139,1.7254,65,A,39,26,44.8604,A
******,,,,,,,------,
05-0032R|01,,,,,,,44.8604,
,,,,,,,,
05-0033R|01,1053934,0.12,75,A,72,3,0.36,A
05-0033R|01,1054433,0.12,177,A,172,5,0.6,A
05-0033R|01,1055022,0.12,252,C,240,12,1.44,C
******,,,,,,,------,
05-0033R|01,,,,,,,2.4,
,,,,,,,,
05-0040R|01,1054434,0.36,317,A,20,297,106.92,A
05-0040R|01,1055022,0.36,252,C,240,12,4.32,C
05-0040R|01,1055066,0.36,440,C,428,12,4.32,C
05-0040R|01,1055100,0.36,800,A,732,68,24.48,A
05-0040R|01,1055721,0.36,761,A,760,1,0.36,A
05-0040R|01,1057917,0.36,479,A,60,419,150.84,A
******,,,,,,,------,
05-0040R|01,,,,,,,291.24,
,,,,,,,,
05-0044R|01,1054398,0.018,16519,C,16512,7,0.126,C
05-0044R|01,1058117,0.018,12000,A,11008,992,17.856,A
05-0044R|01,1058790,0.018,199,A,160,39,0.702,A
******,,,,,,,------,
05-0044R|01,,,,,,,18.684,
,,,,,,,,
05-0046R|01,1054398,0.0195,16525,C,16512,13,0.2535,C
05-0046R|01,1058117,0.0195,12000,A,11008,992,19.344,A
05-0046R|01,1058790,0.0195,1228,A,160,1068,20.826,A
******,,,,,,,------,
05-0046R|01,,,,,,,40.4235,
,,,,,,,,
05-0049R|01,1055139,0.55,162,A,39,123,67.65,A
******,,,,,,,------,
05-0049R|01,,,,,,,67.65,
,,,,,,,,
05-0050R|01,1053934,0.075,92,A,72,20,1.5,A
05-0050R|01,1054433,0.075,176,A,172,4,0.3,A
05-0050R|01,1054434,0.075,3037,A,40,2997,224.775,A
05-0050R|01,1055022,0.075,325,C,240,85,6.375,C
05-0050R|01,1055100,0.075,5000,A,1464,3536,265.2,A
05-0050R|01,1055727,0.075,150,C,149,1,0.075,C
05-0050R|01,1055728,0.075,2642,A,102,2540,190.5,A
05-0050R|01,1057914,0.075,176,C,162,14,1.05,C
05-0050R|01,1058600,0.075,405,A,402,3,0.225,A
05-0050R|01,1058601,0.075,1626,A,699,927,69.525,A
******,,,,,,,------,
05-0050R|01,,,,,,,759.525,
,,,,,,,,
05-0053R|01,1055139,0.5076,215,A,39,176,89.3376,A
******,,,,,,,------,
05-0053R|01,,,,,,,89.3376,
,,,,,,,,
05-0059R|01,1055731,0.025,822,A,48,774,19.35,A
******,,,,,,,------,
05-0059R|01,,,,,,,19.35,
,,,,,,,,
0510-2000-0004|01,1057522,0.74,2401,C,2400,1,0.74,C
******,,,,,,,------,
0510-2000-0004|01,,,,,,,0.74,
,,,,,,,,
06-0011R|01,1053934,0.644,73,A,72,1,0.644,A
06-0011R|01,1053958,0.644,9,C,8,1,0.644,C
06-0011R|01,1055151,0.644,64,A,57,7,4.508,A
06-0011R|01,1055734,0.644,460,A,237,223,143.612,A
06-0011R|01,1056546,0.644,379,C,378,1,0.644,C
06-0011R|01,1057642,0.644,37,C,36,1,0.644,C
******,,,,,,,------,
06-0011R|01,,,,,,,150.696,
,,,,,,,,
06-0014R|01,1054433,0.36,182,A,172,10,3.6,A
06-0014R|01,1055022,0.36,255,C,240,15,5.4,C
06-0014R|01,1055727,0.36,519,C,149,370,133.2,C
06-0014R|01,1055728,0.36,394,A,102,292,105.12,A
06-0014R|01,1056548,0.36,314,C,312,2,0.72,C
06-0014R|01,1057914,0.36,165,C,162,3,1.08,C
06-0014R|01,1058600,0.36,404,A,402,2,0.72,A
06-0014R|01,1058601,0.36,835,A,699,136,48.96,A
******,,,,,,,------,
06-0014R|01,,,,,,,298.8,
,,,,,,,,
06-0017R|01,1055731,0.8032,1000,A,48,952,764.6464,A
******,,,,,,,------,
06-0017R|01,,,,,,,764.6464,
,,,,,,,,
0615-0006-0000|01,1057522,0.2763,642,C,600,42,11.6046,C
******,,,,,,,------,
0615-0006-0000|01,,,,,,,11.6046,
,,,,,,,,
0615-1120-0000|01,1054392,0.098,51,C,50,1,0.098,C
******,,,,,,,------,
0615-1120-0000|01,,,,,,,0.098,
,,,,,,,,
0625-0126-0000|01,1054392,0.41,51,C,50,1,0.41,C
******,,,,,,,------,
0625-0126-0000|01,,,,,,,0.41,
,,,,,,,,
0700-0008-0000|01,1054071,0.1412,572,C,570,2,0.2824,C
******,,,,,,,------,
0700-0008-0000|01,,,,,,,0.2824,
,,,,,,,,
0700-0009-0000|01,1054071,0.1294,1713,C,1710,3,0.3882,C
0700-0009-0000|01,1057522,0.1294,1802,C,1800,2,0.2588,C
******,,,,,,,------,
0700-0009-0000|01,,,,,,,0.647,
,,,,,,,,
0700-0012-0000|01,1054071,0.0541,3433,C,3420,13,0.7033,C
******,,,,,,,------,
0700-0012-0000|01,,,,,,,0.7033,
,,,,,,,,
0700-2001-2000|01,1053918,0.8967,15,A,12,3,2.6901,A
******,,,,,,,------,
0700-2001-2000|01,,,,,,,2.6901,
,,,,,,,,
0700-2002-2000|01,1053918,0.1755,34,A,24,10,1.755,A
0700-2002-2000|01,1057522,0.1755,1202,C,1200,2,0.351,C
******,,,,,,,------,
0700-2002-2000|01,,,,,,,2.106,
,,,,,,,,
0700-2007-2000|01,1054071,0.15,1144,C,1140,4,0.6,C
0700-2007-2000|01,1057522,0.15,1211,C,1200,11,1.65,C
******,,,,,,,------,
0700-2007-2000|01,,,,,,,2.25,
,,,,,,,,
0700-2010-2001|01,1054392,0.0848,51,C,50,1,0.0848,C
******,,,,,,,------,
0700-2010-2001|01,,,,,,,0.0848,
,,,,,,,,
0700-2016-2000|01,1053918,0.3978,7,A,6,1,0.3978,A
******,,,,,,,------,
0700-2016-2000|01,,,,,,,0.3978,
,,,,,,,,
0700-2023-2000|01,1054071,0.3,571,C,570,1,0.3,C
******,,,,,,,------,
0700-2023-2000|01,,,,,,,0.3,
,,,,,,,,
0700-2026-2000|01,1054392,0.063,102,C,100,2,0.126,C
******,,,,,,,------,
0700-2026-2000|01,,,,,,,0.126,
,,,,,,,,
0700-2027-2000|01,1054392,0.12,153,C,150,3,0.36,C
******,,,,,,,------,
0700-2027-2000|01,,,,,,,0.36,
,,,,,,,,
0700-2038-2000|01,1054071,0.174,1160,C,1140,20,3.48,C
0700-2038-2000|01,1057522,0.174,1202,C,1200,2,0.348,C
******,,,,,,,------,
0700-2038-2000|01,,,,,,,3.828,
,,,,,,,,
0700-2122-0002|01,1057522,0.2333,618,C,600,18,4.1994,C
******,,,,,,,------,
0700-2122-0002|01,,,,,,,4.1994,
,,,,,,,,
0710-2039-2001|01,1057522,0.55,1203,C,1200,3,1.65,C
******,,,,,,,------,
0710-2039-2001|01,,,,,,,1.65,
,,,,,,,,
0725-5101-2000|01,1054071,0.0961,1728,C,1710,18,1.7298,C
0725-5101-2000|01,1054392,0.0961,55,C,50,5,0.4805,C
0725-5101-2000|01,1057522,0.0961,1803,C,1800,3,0.2883,C
******,,,,,,,------,
0725-5101-2000|01,,,,,,,2.4986,
,,,,,,,,
0727-0001-0000|01,1054392,0.17,53,C,50,3,0.51,C
******,,,,,,,------,
0727-0001-0000|01,,,,,,,0.51,
,,,,,,,,
0740-2317-2000|01,1054071,0.0228,2296,C,2280,16,0.3648,C
0740-2317-2000|01,1057522,0.0228,2411,C,2400,11,0.2508,C
******,,,,,,,------,
0740-2317-2000|01,,,,,,,0.6156,
,,,,,,,,
0740-5000-2001|01,1054071,0.0375,577,C,570,7,0.2625,C
0740-5000-2001|01,1057522,0.0375,606,C,600,6,0.225,C
******,,,,,,,------,
0740-5000-2001|01,,,,,,,0.4875,
,,,,,,,,
0740-5120-2000|01,1053918,0.0049,14,A,6,8,0.0392,A
0740-5120-2000|01,1054392,0.0049,74,C,50,24,0.1176,C
0740-5120-2000|01,1057522,0.0049,7444,C,6600,844,4.1356,C
******,,,,,,,------,
0740-5120-2000|01,,,,,,,4.2924,
,,,,,,,,
0750-0002-0000|01,1054392,0.3,53,C,50,3,0.9,C
******,,,,,,,------,
0750-0002-0000|01,,,,,,,0.9,
,,,,,,,,
0750-5106-2000|01,1054071,0.617,572,C,570,2,1.234,C
******,,,,,,,------,
0750-5106-2000|01,,,,,,,1.234,
,,,,,,,,
0750-5107-2000|01,1054071,0.1327,1150,C,1140,10,1.327,C
0750-5107-2000|01,1057522,0.1327,1209,C,1200,9,1.1943,C
******,,,,,,,------,
0750-5107-2000|01,,,,,,,2.5213,
,,,,,,,,
0750-5110-2000|01,1053918,0.3917,219,A,192,27,10.5759,A
0750-5110-2000|01,1054071,0.3917,1142,C,1140,2,0.7834,C
0750-5110-2000|01,1057522,0.3917,1205,C,1200,5,1.9585,C
******,,,,,,,------,
0750-5110-2000|01,,,,,,,13.3178,
,,,,,,,,
0820-0000-1401|01,1053918,0.0018,81,A,66,15,0.027,A
******,,,,,,,------,
0820-0000-1401|01,,,,,,,0.027,
,,,,,,,,
0820-0000-2301|01,1054392,0.001,97,C,50,47,0.047,C
0820-0000-2301|01,1057522,0.001,2402,C,2400,2,0.002,C
******,,,,,,,------,
0820-0000-2301|01,,,,,,,0.049,
,,,,,,,,
0820-0000-4209|01,1053918,0.0007,965,A,774,191,0.1337,A
0820-0000-4209|01,1054071,0.0007,13145,C,13110,35,0.0245,C
0820-0000-4209|01,1057522,0.0007,13857,C,13800,57,0.0399,C
******,,,,,,,------,
0820-0000-4209|01,,,,,,,0.1981,
,,,,,,,,
0820-0001-0000|01,1054071,0.0009,580,C,570,10,0.009,C
0820-0001-0000|01,1057522,0.0009,607,C,600,7,0.0063,C
******,,,,,,,------,
0820-0001-0000|01,,,,,,,0.0153,
,,,,,,,,
0820-0001-1401|01,1053918,0.0038,228,A,192,36,0.1368,A
0820-0001-1401|01,1054071,0.0038,5706,C,5700,6,0.0228,C
******,,,,,,,------,
0820-0001-1401|01,,,,,,,0.1596,
,,,,,,,,
0820-0004-1401|01,1053918,0.0024,16,A,12,4,0.0096,A
******,,,,,,,------,
0820-0004-1401|01,,,,,,,0.0096,
,,,,,,,,
0820-0008-0000|01,1054392,0.0008,112,C,100,12,0.0096,C
******,,,,,,,------,
0820-0008-0000|01,,,,,,,0.0096,
,,,,,,,,
0820-0008-1401|01,1054392,0.0007,77,C,50,27,0.0189,C
******,,,,,,,------,
0820-0008-1401|01,,,,,,,0.0189,
,,,,,,,,
0820-0012-0000|01,1053918,0.0012,10,A,6,4,0.0048,A
******,,,,,,,------,
0820-0012-0000|01,,,,,,,0.0048,
,,,,,,,,
0820-0012-1401|01,1054392,0.0588,87,C,50,37,2.1756,C
******,,,,,,,------,
0820-0012-1401|01,,,,,,,2.1756,
,,,,,,,,
0820-0014-0000|01,1053918,0.0189,231,A,192,39,0.7371,A
0820-0014-0000|01,1054071,0.0189,2294,C,2280,14,0.2646,C
0820-0014-0000|01,1057522,0.0189,2403,C,2400,3,0.0567,C
******,,,,,,,------,
0820-0014-0000|01,,,,,,,1.0584,
,,,,,,,,
0820-0014-1401|01,1053918,0.0009,196,A,162,34,0.0306,A
0820-0014-1401|01,1054071,0.0009,17127,C,17100,27,0.0243,C
0820-0014-1401|01,1057522,0.0009,18083,C,18000,83,0.0747,C
******,,,,,,,------,
0820-0014-1401|01,,,,,,,0.1296,
,,,,,,,,
0820-0016-0000|01,1054071,0.0007,593,C,570,23,0.0161,C
0820-0016-0000|01,1057522,0.0007,616,C,600,16,0.0112,C
******,,,,,,,------,
0820-0016-0000|01,,,,,,,0.0273,
,,,,,,,,
0820-0017-0000|01,1054071,0.0021,579,C,570,9,0.0189,C
0820-0017-0000|01,1057522,0.0021,603,C,600,3,0.0063,C
******,,,,,,,------,
0820-0017-0000|01,,,,,,,0.0252,
,,,,,,,,
0820-0017-1401|01,1053918,0.0009,31,A,6,25,0.0225,A
******,,,,,,,------,
0820-0017-1401|01,,,,,,,0.0225,
,,,,,,,,
0820-0018-1401|01,1053918,0.0009,22,A,12,10,0.009,A
******,,,,,,,------,
0820-0018-1401|01,,,,,,,0.009,
,,,,,,,,
0820-0021-0000|01,1054071,0.0007,585,C,570,15,0.0105,C
0820-0021-0000|01,1057522,0.0007,610,C,600,10,0.007,C
******,,,,,,,------,
0820-0021-0000|01,,,,,,,0.0175,
,,,,,,,,
0820-0023-0000|01,1054071,0.026,1712,C,1710,2,0.052,C
0820-0023-0000|01,1057522,0.026,1802,C,1800,2,0.052,C
******,,,,,,,------,
0820-0023-0000|01,,,,,,,0.104,
,,,,,,,,
0820-0024-1401|01,1054071,0.0007,587,C,570,17,0.0119,C
0820-0024-1401|01,1057522,0.0007,610,C,600,10,0.007,C
******,,,,,,,------,
0820-0024-1401|01,,,,,,,0.0189,
,,,,,,,,
0820-0025-1401|01,1054071,0.0007,576,C,570,6,0.0042,C
0820-0025-1401|01,1057522,0.0007,606,C,600,6,0.0042,C
******,,,,,,,------,
0820-0025-1401|01,,,,,,,0.0084,
,,,,,,,,
0820-0027-0000|01,1053918,0.0018,12,A,6,6,0.0108,A
******,,,,,,,------,
0820-0027-0000|01,,,,,,,0.0108,
,,,,,,,,
0820-0028-0000|01,1054071,0.007,2283,C,2280,3,0.021,C
